operator_qid,operator_label,operator_type_qid,operator_type_label,country_qid,country_label,website,headquarters,inception,ceo,employees,revenue,industry,logo,stock_exchange,dissolved,wikipedia,similarity_score,operator_name
Q124519518,Aksa Enerji,Q1326624,electricity supply company,Q43,Turkey,http://www.aksaenerji.com.tr,Istanbul,,,,,electricity generation,,,,https://en.wikipedia.org/wiki/Aksa_Energy,,
Q5358766,Electricity Generation Company,Q1326624,electricity supply company,Q43,Turkey,https://www.euas.gov.tr,Ankara,2001-01-01T00:00:00Z,,,,public utility,http://commons.wikimedia.org/wiki/Special:FilePath/E%C3%9CA%C5%9E%20logo.svg,,,https://en.wikipedia.org/wiki/Electricity_Generation_Company_(Turkey),,
Q6093056,TEİAŞ,Q112046,transmission system operator for electricity,Q43,Turkey,http://www.teias.gov.tr,Ankara,,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/TE%C4%B0A%C5%9E%20logo.svg,,,https://en.wikipedia.org/wiki/Turkish_Electricity_Transmission_Corporation,,
Q6097181,Turkish Electricity Distribution Corporation,Q472093,distribution network operator for electricity,Q43,Turkey,http://www.tedas.gov.tr/,Ankara,1994-01-01T00:00:00Z,,,,,,,,https://en.wikipedia.org/wiki/Turkish_Electricity_Distribution_Corporation,,
Q12132842,National Power Company Ukrenergo,Q472093,distribution network operator for electricity,Q212,Ukraine,https://ua.energy/,Kyiv,1998-04-15T00:00:00Z,Volodymyr Kudrytskyi,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/LOGOUKRENERGO%20NEV-%D1%83%D0%BA%D1%80-1.png,,,https://en.wikipedia.org/wiki/Ukrenergo,,
Q117221665,Cleveland & Durham Electric Power Company,Q1326624,electricity supply company,Q145,United Kingdom,,,,,,,,,,,,,
Q100145595,County of London Electric Supply Company,Q1326624,electricity supply company,Q145,United Kingdom,,London,1891-06-30T00:00:00Z,,,,energy supply,,,1948-03-31T00:00:00Z,https://en.wikipedia.org/wiki/County_of_London_Electric_Supply_Company,,
Q114567232,ESP Utilities Group,Q472093,distribution network operator for electricity,Q145,United Kingdom,https://espug.com/,Leatherhead,,,,,electric power distribution,,,,,,
Q5357804,Electricity North West,Q472093,distribution network operator for electricity,Q145,United Kingdom,https://www.enwl.co.uk/,Warrington,2007-01-01T00:00:00Z,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/ENWL%20logo.jpg,,,https://en.wikipedia.org/wiki/Electricity_North_West,,
Q114567327,Energetics,Q472093,distribution network operator for electricity,Q145,United Kingdom,https://energetics-uk.com/,Glasgow,,,,,,,,,,,
